/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-04-23 11:29:08,023 - Calc 183
2025-04-23 11:29:08,046 - Calc 184
2025-04-23 11:29:08,080 - Calc 185
2025-04-23 11:29:08,195 - Calc 186
2025-04-23 11:29:08,252 - Calc 187
2025-04-23 11:29:08,312 - Calc 188
2025-04-23 11:29:08,422 - Calc 189
2025-04-23 11:29:08,473 - Calc 190
2025-04-23 11:29:08,530 - Calc 191
2025-04-23 11:29:08,538 - Calc 192
2025-04-23 11:29:08,640 - Calc 193
2025-04-23 11:29:08,641 - Calc 194
2025-04-23 11:29:08,670 - Calc 195
2025-04-23 11:29:08,781 - Calc 196
2025-04-23 11:29:08,816 - Calc 197
2025-04-23 11:29:08,869 - Calc 198
2025-04-23 11:29:08,966 - Calc 199
2025-04-23 11:29:09,058 - Calc 200
2025-04-23 11:29:09,101 - Calc 201
2025-04-23 11:29:09,179 - Calc 202
2025-04-23 11:29:09,207 - Calc 203
2025-04-23 11:29:09,289 - Calc 204
2025-04-23 11:29:09,351 - Calc 205
2025-04-23 11:29:09,362 - Calc 206
2025-04-23 11:29:09,378 - Calc 207
2025-04-23 11:29:09,469 - Calc 208
2025-04-23 11:29:09,480 - Calc 209
2025-04-23 11:29:09,517 - Calc 210
2025-04-23 11:29:09,645 - Calc 211
2025-04-23 11:29:09,660 - Calc 212
2025-04-23 11:29:09,777 - Calc 213
2025-04-23 11:29:09,854 - Calc 214
2025-04-23 11:29:09,895 - Calc 215
2025-04-23 11:29:09,953 - Calc 216
2025-04-23 11:29:09,988 - Calc 217
2025-04-23 11:29:09,988 - Calc 218
2025-04-23 11:29:10,008 - Calc 219
2025-04-23 11:29:10,060 - Calc 220
2025-04-23 11:29:10,296 - Calc 221
2025-04-23 11:29:10,301 - Calc 222
2025-04-23 11:29:10,329 - Calc 223
2025-04-23 11:29:10,412 - Calc 224
2025-04-23 11:29:10,414 - Calc 225
2025-04-23 11:29:10,530 - Calc 226
2025-04-23 11:29:10,605 - Calc 227
2025-04-23 11:29:10,612 - Calc 228
2025-04-23 11:29:10,646 - Calc 229
2025-04-23 11:29:10,750 - Calc 230
2025-04-23 11:29:10,770 - Calc 231
2025-04-23 11:29:10,790 - Calc 232
2025-04-23 11:29:10,873 - Calc 233
2025-04-23 11:29:10,881 - Calc 234
2025-04-23 11:29:10,896 - Calc 235
2025-04-23 11:29:10,957 - Calc 236
2025-04-23 11:29:10,997 - Calc 237
2025-04-23 11:29:11,027 - Calc 238
2025-04-23 11:29:11,036 - Calc 239
2025-04-23 11:29:11,079 - Calc 240
2025-04-23 11:29:11,228 - Calc 241
2025-04-23 11:29:11,239 - Calc 242
2025-04-23 11:29:11,242 - Calc 243
2025-04-23 11:29:11,281 - Calc 244
2025-04-23 11:29:11,377 - Calc 245
2025-04-23 11:29:11,492 - Calc 246
2025-04-23 11:29:11,628 - Calc 247
2025-04-23 11:29:11,657 - Calc 248
2025-04-23 11:29:11,692 - Calc 249
2025-04-23 11:29:11,722 - Calc 250
2025-04-23 11:29:11,752 - Calc 251
2025-04-23 11:29:11,768 - Calc 252
2025-04-23 11:29:11,830 - Calc 253
2025-04-23 11:29:11,881 - Calc 254
2025-04-23 11:29:11,899 - Calc 255
2025-04-23 11:29:11,990 - Calc 256
2025-04-23 11:29:12,022 - Calc 257
2025-04-23 11:29:12,090 - Calc 258
2025-04-23 11:29:12,098 - Calc 259
2025-04-23 11:29:12,185 - Calc 260
2025-04-23 11:29:12,316 - Calc 261
2025-04-23 11:29:12,402 - Calc 262
2025-04-23 11:29:12,492 - Calc 263
2025-04-23 11:29:12,527 - Calc 264
2025-04-23 11:29:12,663 - Calc 265
2025-04-23 11:29:12,679 - Calc 266
2025-04-23 11:29:12,696 - Calc 267
2025-04-23 11:29:12,856 - Calc 268
2025-04-23 11:29:12,903 - Calc 269
2025-04-23 11:29:12,945 - Calc 270
2025-04-23 11:29:12,964 - Calc 271
2025-04-23 11:29:12,991 - Calc 272
2025-04-23 11:29:13,021 - Calc 273
2025-04-23 11:29:13,049 - Calc 274
2025-04-23 11:29:13,068 - Calc 275
2025-04-23 11:29:13,138 - Calc 276
2025-04-23 11:29:13,161 - Calc 277
2025-04-23 11:29:13,236 - Calc 278
2025-04-23 11:29:13,245 - Calc 279
2025-04-23 11:29:13,289 - Calc 280
2025-04-23 11:29:13,359 - Calc 281
2025-04-23 11:29:13,383 - Calc 282
2025-04-23 11:29:13,400 - Calc 283
2025-04-23 11:29:13,596 - Calc 284
2025-04-23 11:29:13,603 - Calc 285
2025-04-23 11:29:13,607 - Calc 286
2025-04-23 11:29:13,616 - Calc 287
2025-04-23 11:29:13,649 - Calc 288
2025-04-23 11:29:13,665 - Calc 289
2025-04-23 11:29:13,781 - Calc 290
2025-04-23 11:29:13,795 - Calc 291
2025-04-23 11:29:13,808 - Calc 292
2025-04-23 11:29:13,850 - Calc 293
2025-04-23 11:29:13,898 - Calc 294
2025-04-23 11:29:13,933 - Calc 295
2025-04-23 11:29:13,969 - Calc 296
2025-04-23 11:29:14,025 - Calc 297
2025-04-23 11:29:14,177 - Calc 298
2025-04-23 11:29:14,247 - Calc 299
2025-04-23 11:29:14,336 - Calc 300
2025-04-23 11:29:14,357 - Calc 301
2025-04-23 11:29:14,445 - Calc 302
2025-04-23 11:29:14,518 - Calc 303
2025-04-23 11:29:14,525 - Calc 304
2025-04-23 11:29:14,567 - Calc 305
2025-04-23 11:29:14,669 - Calc 306
2025-04-23 11:29:14,680 - Calc 307
2025-04-23 11:29:14,782 - Calc 308
2025-04-23 11:29:14,786 - Calc 309
2025-04-23 11:29:14,817 - Calc 310
2025-04-23 11:29:14,823 - Calc 311
2025-04-23 11:29:14,982 - Calc 312
2025-04-23 11:29:14,987 - Calc 313
2025-04-23 11:29:15,045 - Calc 314
2025-04-23 11:29:15,104 - Calc 315
2025-04-23 11:29:15,142 - Calc 316
2025-04-23 11:29:15,180 - Calc 317
2025-04-23 11:29:15,207 - Calc 318
2025-04-23 11:29:15,232 - Calc 319
2025-04-23 11:29:15,313 - Calc 320
2025-04-23 11:29:15,375 - Calc 321
2025-04-23 11:29:15,438 - Calc 322
2025-04-23 11:29:15,477 - Calc 323
2025-04-23 11:29:15,520 - Calc 324
2025-04-23 11:29:15,587 - Calc 325
2025-04-23 11:29:15,609 - Calc 326
2025-04-23 11:29:15,718 - Calc 327
2025-04-23 11:29:15,735 - Calc 328
2025-04-23 11:29:15,746 - Calc 329
2025-04-23 11:29:15,778 - Calc 330
2025-04-23 11:29:15,941 - Calc 331
2025-04-23 11:29:15,979 - Calc 332
2025-04-23 11:29:15,981 - Calc 333
2025-04-23 11:29:16,032 - Calc 334
2025-04-23 11:29:16,034 - Calc 335
2025-04-23 11:29:16,155 - Calc 336
2025-04-23 11:29:16,160 - Calc 337
2025-04-23 11:29:16,192 - Calc 338
2025-04-23 11:29:16,199 - Calc 339
2025-04-23 11:29:16,314 - Calc 340
2025-04-23 11:29:16,347 - Calc 341
2025-04-23 11:29:16,417 - Calc 342
2025-04-23 11:29:16,489 - Calc 343
2025-04-23 11:29:16,514 - Calc 344
2025-04-23 11:29:16,606 - Calc 345
2025-04-23 11:29:16,621 - Calc 346
2025-04-23 11:29:16,649 - Calc 347
2025-04-23 11:29:16,678 - Calc 348
2025-04-23 11:29:16,725 - Calc 349
2025-04-23 11:29:16,733 - Calc 350
2025-04-23 11:29:16,795 - Calc 351
2025-04-23 11:29:16,872 - Calc 352
2025-04-23 11:29:16,892 - Calc 353
2025-04-23 11:29:16,909 - Calc 354
2025-04-23 11:29:16,978 - Calc 355
2025-04-23 11:29:17,046 - Calc 356
2025-04-23 11:29:17,087 - Calc 357
2025-04-23 11:29:17,096 - Calc 358
2025-04-23 11:29:17,135 - Calc 359
2025-04-23 11:29:17,143 - Calc 360
2025-04-23 11:29:17,187 - Calc 361
2025-04-23 11:29:17,285 - Calc 362
2025-04-23 11:29:17,410 - Calc 363
2025-04-23 11:29:17,430 - Calc 364
2025-04-23 11:29:17,435 - Calc 365
2025-04-23 11:29:17,578 - Calc 366
2025-04-23 11:29:17,597 - Calc 367
2025-04-23 11:29:17,639 - Calc 368
2025-04-23 11:29:17,744 - Calc 369
2025-04-23 11:29:17,758 - Calc 370
2025-04-23 11:29:17,790 - Calc 371
2025-04-23 11:29:17,797 - Calc 372
2025-04-23 11:29:17,890 - Calc 373
2025-04-23 11:29:17,962 - Calc 374
2025-04-23 11:29:17,973 - Calc 375
2025-04-23 11:29:18,026 - Calc 376
2025-04-23 11:29:18,040 - Calc 377
2025-04-23 11:29:18,233 - Calc 378
2025-04-23 11:29:18,240 - Calc 379
2025-04-23 11:29:18,301 - Calc 380
2025-04-23 11:29:18,312 - Calc 381
2025-04-23 11:29:18,323 - Calc 382
2025-04-23 11:29:18,345 - Calc 383
2025-04-23 11:29:18,433 - Calc 384
2025-04-23 11:29:18,524 - Calc 385
2025-04-23 11:29:18,596 - Calc 386
2025-04-23 11:29:18,629 - Calc 387
2025-04-23 11:29:18,773 - Calc 388
2025-04-23 11:29:18,787 - Calc 389
2025-04-23 11:29:18,795 - Calc 390
2025-04-23 11:29:18,819 - Calc 391
2025-04-23 11:29:18,893 - Calc 392
2025-04-23 11:29:18,895 - Calc 393
2025-04-23 11:29:18,946 - Calc 394
2025-04-23 11:29:19,003 - Calc 395
2025-04-23 11:29:19,025 - Calc 396
2025-04-23 11:29:19,045 - Calc 397
2025-04-23 11:29:19,087 - Calc 398
2025-04-23 11:29:19,110 - Calc 399
2025-04-23 11:29:19,175 - Calc 400
2025-04-23 11:29:19,274 - Calc 401
2025-04-23 11:29:19,356 - Calc 402
2025-04-23 11:29:19,379 - Calc 403
2025-04-23 11:29:19,381 - Calc 404
2025-04-23 11:29:19,407 - Calc 405
2025-04-23 11:29:19,445 - Calc 406
2025-04-23 11:29:19,505 - Calc 407
2025-04-23 11:29:19,520 - Calc 408
2025-04-23 11:29:19,532 - Calc 409
2025-04-23 11:29:19,548 - Calc 410
2025-04-23 11:29:19,554 - Calc 411
2025-04-23 11:29:19,597 - Calc 412
2025-04-23 11:29:19,674 - Calc 413
2025-04-23 11:29:19,688 - Calc 414
2025-04-23 11:29:19,691 - Calc 415
2025-04-23 11:29:19,720 - Calc 416
2025-04-23 11:29:19,788 - Calc 417
2025-04-23 11:29:19,840 - Calc 418
2025-04-23 11:29:19,850 - Calc 419
