/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:43:50,252 - Calc 185
2025-06-24 16:43:50,449 - Calc 186
2025-06-24 16:43:50,472 - Calc 187
2025-06-24 16:43:50,597 - Calc 188
2025-06-24 16:43:50,648 - Calc 189
2025-06-24 16:43:50,761 - Calc 190
2025-06-24 16:43:50,835 - Calc 191
2025-06-24 16:43:51,002 - Calc 192
2025-06-24 16:43:51,013 - Calc 193
2025-06-24 16:43:51,062 - Calc 194
2025-06-24 16:43:51,068 - Calc 195
2025-06-24 16:43:51,081 - Calc 196
2025-06-24 16:43:51,214 - Calc 197
2025-06-24 16:43:51,248 - Calc 198
2025-06-24 16:43:51,275 - Calc 199
2025-06-24 16:43:51,430 - Calc 200
2025-06-24 16:43:51,649 - Calc 201
2025-06-24 16:43:51,755 - Calc 202
2025-06-24 16:43:52,058 - Calc 203
2025-06-24 16:43:52,088 - Calc 204
2025-06-24 16:43:52,097 - Calc 205
2025-06-24 16:43:52,150 - Calc 206
2025-06-24 16:43:52,185 - Calc 207
2025-06-24 16:43:52,346 - Calc 208
2025-06-24 16:43:52,428 - Calc 209
2025-06-24 16:43:52,498 - Calc 210
2025-06-24 16:43:52,534 - Calc 211
2025-06-24 16:43:52,635 - Calc 212
2025-06-24 16:43:52,692 - Calc 213
2025-06-24 16:43:52,727 - Calc 214
2025-06-24 16:43:52,986 - Calc 215
2025-06-24 16:43:53,019 - Calc 216
2025-06-24 16:43:53,247 - Calc 217
2025-06-24 16:43:53,252 - Calc 218
2025-06-24 16:43:53,295 - Calc 219
2025-06-24 16:43:53,458 - Calc 220
2025-06-24 16:43:53,545 - Calc 221
2025-06-24 16:43:53,549 - Calc 222
2025-06-24 16:43:53,594 - Calc 223
2025-06-24 16:43:53,665 - Calc 224
2025-06-24 16:43:53,670 - Calc 225
2025-06-24 16:43:53,786 - Calc 226
2025-06-24 16:43:53,826 - Calc 227
2025-06-24 16:43:53,905 - Calc 228
2025-06-24 16:43:54,011 - Calc 229
2025-06-24 16:43:54,040 - Calc 230
2025-06-24 16:43:54,061 - Calc 231
2025-06-24 16:43:54,140 - Calc 232
2025-06-24 16:43:54,274 - Calc 233
2025-06-24 16:43:54,339 - Calc 234
2025-06-24 16:43:54,383 - Calc 235
2025-06-24 16:43:54,458 - Calc 236
2025-06-24 16:43:54,579 - Calc 237
2025-06-24 16:43:54,613 - Calc 238
2025-06-24 16:43:54,645 - Calc 239
2025-06-24 16:43:54,759 - Calc 240
2025-06-24 16:43:54,766 - Calc 241
2025-06-24 16:43:54,769 - Calc 242
2025-06-24 16:43:54,901 - Calc 243
2025-06-24 16:43:54,925 - Calc 244
2025-06-24 16:43:54,948 - Calc 245
2025-06-24 16:43:54,968 - Calc 246
2025-06-24 16:43:55,013 - Calc 247
2025-06-24 16:43:55,276 - Calc 248
2025-06-24 16:43:55,415 - Calc 249
2025-06-24 16:43:55,478 - Calc 250
2025-06-24 16:43:55,490 - Calc 251
2025-06-24 16:43:55,708 - Calc 252
2025-06-24 16:43:55,810 - Calc 253
2025-06-24 16:43:55,819 - Calc 254
2025-06-24 16:43:55,866 - Calc 255
2025-06-24 16:43:55,873 - Calc 256
2025-06-24 16:43:55,910 - Calc 257
2025-06-24 16:43:55,916 - Calc 258
2025-06-24 16:43:56,200 - Calc 259
2025-06-24 16:43:56,257 - Calc 260
2025-06-24 16:43:56,290 - Calc 261
2025-06-24 16:43:56,471 - Calc 262
2025-06-24 16:43:56,554 - Calc 263
2025-06-24 16:43:56,576 - Calc 264
2025-06-24 16:43:56,693 - Calc 265
2025-06-24 16:43:56,695 - Calc 266
2025-06-24 16:43:56,851 - Calc 267
2025-06-24 16:43:57,051 - Calc 268
2025-06-24 16:43:57,101 - Calc 269
2025-06-24 16:43:57,107 - Calc 270
2025-06-24 16:43:57,156 - Calc 271
2025-06-24 16:43:57,495 - Calc 272
2025-06-24 16:43:57,559 - Calc 273
2025-06-24 16:43:57,863 - Calc 274
2025-06-24 16:43:57,901 - Calc 275
2025-06-24 16:43:58,206 - Calc 276
